TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType,Unnamed: 11,Unnamed: 12
21.09.2023 14:55,534664,0126090370-0006,ISSUED,31168,31136.83,31.17,KZT,HALYK,credit,credit 6 months,,
21.09.2023 14:33,534617,0142008169-0003,ISSUED,25805,25779.19,25.81,KZT,EUABFIS,credit,credit 6 months,,
21.09.2023 14:27,534601,0140028271-0002,ISSUED,145382,145236.62,145.38,KZT,HALYK,credit,credit 36 months,,
21.09.2023 14:07,534537,0138412532-0010,ISSUED,18200,18181.8,18.2,KZT,HALYK,credit,credit 6 months,,
21.09.2023 13:53,534497,0140578358-0010,ISSUED,52085,52032.91,52.09,KZT,HALYK,credit,credit 36 months,,
21.09.2023 11:42,534210,0141378026-0011,ISSUED,27402,27374.6,27.4,KZT,EUABFIS,credit,credit 3 months,,
21.09.2023 11:40,534204,0141765511-0004,ISSUED,15734,15718.27,15.73,KZT,EUABFIS,credit,credit 6 months,,
21.09.2023 11:25,534164,0142678552-0002,ISSUED,17626,17608.37,17.63,KZT,EUABFIS,credit,credit 3 months,,
21.09.2023 11:24,534162,91928511-0008,ISSUED,34949,34914.05,34.95,KZT,EUABFIS,credit,credit 6 months,,
21.09.2023 11:17,534145,0142662409-0004,ISSUED,115485,115369.51,115.49,KZT,HALYK,credit,credit 36 months,,
21.09.2023 10:40,534064,0142679202-0001,ISSUED,16963,16946.04,16.96,KZT,FASTCASH,credit,credit 12 months,,
21.09.2023 10:25,534031,0139928774-0010,ISSUED,38188,38149.81,38.19,KZT,HALYK,credit,credit 6 months,,
21.09.2023 10:21,534025,0141378026-0010,ISSUED,27402,27374.6,27.4,KZT,EUABFIS,credit,credit 3 months,,
21.09.2023 10:13,534016,0137627320-0010,ISSUED,32183,32150.82,32.18,KZT,HALYK,credit,credit 6 months,,
21.09.2023 10:07,534002,0141290603-0004,ISSUED,15013,14997.99,15.01,KZT,EUABFIS,credit,credit 3 months,,
21.09.2023 10:13,534000,0137627320-0009,REFUNDED,-32183,-32150.82,-32.18,KZT,HALYK,credit,credit 6 months,,
21.09.2023 10:07,534000,0137627320-0009,ISSUED,32183,32150.82,32.18,KZT,HALYK,credit,credit 6 months,,
21.09.2023 10:04,533986,0118473137-0003,ISSUED,106074,105967.93,106.07,KZT,HALYK,credit,credit 24 months,,
21.09.2023 10:04,533982,0141499529-0012,ISSUED,684088,683403.91,684.09,KZT,HALYK,credit,credit 36 months,,
21.09.2023 10:04,533978,0142437570-0002,ISSUED,66343,66276.66,66.34,KZT,HALYK,credit,credit 36 months,,
21.09.2023 10:04,533976,0139928774-0009,ISSUED,38188,38149.81,38.19,KZT,HALYK,credit,credit 6 months,,
21.09.2023 1:44,533858,0142665038-0001,ISSUED,14411,14396.59,14.41,KZT,FASTCASH,credit,credit 12 months,,
21.09.2023 1:25,533842,85282926-0005,ISSUED,12847,12834.15,12.85,KZT,EUABFIS,credit,credit 9 months,,
21.09.2023 0:20,533803,98038958-0008,ISSUED,26390,26363.61,26.39,KZT,EUABFIS,credit,credit 6 months,,
21.09.2023 20:13,524762,77179428-0026,REFUNDED,-11904,-11892.1,-11.9,KZT,EUABFIS,credit,credit 3 months,,
21.09.2023 12:12,511595,91359448-0008,REFUNDED,-96574,-96477.43,-96.57,KZT,FASTCASH,credit,credit 12 months,,
21.09.2023 15:00,533464,78824477-0004,REFUNDED,-13379,-13365.62,-13.38,KZT,HALYK,credit,credit 6 months,,
21.09.2023 14:58,533405,0142192493-0001,REFUNDED,-22890,-22867.11,-22.89,KZT,HALYK,credit,credit 6 months,,
21.09.2023 14:58,532540,0142572594-0002,REFUNDED,-11066,-11054.93,-11.07,KZT,EUABFIS,credit,credit 3 months,,
21.09.2023 14:57,531628,0142495197-0001,REFUNDED,-73766,-73692.23,-73.77,KZT,EUABFIS,credit,credit 9 months,,
21.09.2023 14:38,530558,0142460838-0002,REFUNDED,-48505,-48456.49,-48.51,KZT,EUABFIS,credit,credit 6 months,,
21.09.2023 12:35,529693,0142418243-0001,REFUNDED,-7231,-7223.77,-7.23,KZT,EUABFIS,credit,credit 3 months,,
21.09.2023 12:33,528738,0142086600-0010,REFUNDED,-15615,-15599.38,-15.62,KZT,HALYK,credit,credit 6 months,,
21.09.2023 12:34,528008,0141895327-0003,REFUNDED,-32031,-31998.97,-32.03,KZT,EUABFIS,credit,credit 6 months,,
