TransactionDate,BillNumber,PaymentToken,TypeOperation,Amount,Payment,Fee,Currency,Partner,Product,ProductType,Unnamed: 11,Unnamed: 12
23.09.2023 11:47,537262,70794124-0005,REFUNDED,-18729,-18710.27,-18.73,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 6:28,537262,70794124-0005,ISSUED,18729,18710.27,18.73,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 5:56,537260,0142852890-0001,ISSUED,12534,12521.47,12.53,KZT,EUABFIS,credit,credit 3 months,,
23.09.2023 5:05,537252,79624803-0008,ISSUED,54659,54604.34,54.66,KZT,HALYK,credit,credit 24 months,,
23.09.2023 2:02,537214,0142771059-0004,ISSUED,42599,42556.4,42.6,KZT,FASTCASH,credit,credit 24 months,,
23.09.2023 0:55,537177,0130666494-0007,ISSUED,52382,52329.62,52.38,KZT,FASTCASH,credit,credit 12 months,,
23.09.2023 0:43,537169,85282926-0013,ISSUED,34748,34713.25,34.75,KZT,HALYK,credit,credit 6 months,,
23.09.2023 15:18,534688,0142699172-0002,REFUNDED,-82846,-82763.15,-82.85,KZT,HALYK,credit,credit 12 months,,
23.09.2023 15:53,521452,0141807389-0003,REFUNDED,-11118,-11106.88,-11.12,KZT,HALYK,credit,credit 6 months,,
23.09.2023 19:49,516972,0132117549-0006,REFUNDED,-19371,-19351.63,-19.37,KZT,FASTCASH,credit,credit 12 months,,
